Cell_ID,Group_Num,Cell_Num,Charging_Crate,Discharging_Crate,Mean_DoD_pct
G1C1,1,1,0.5,0.5,25.9
G1C2,1,2,0.5,0.5,25.9
G1C3,1,3,0.5,0.5,25.9
G1C4,1,4,0.5,0.5,25.9
G2C1,2,1,0.5,0.5,46.11
G2C2,2,2,0.5,0.5,46.11
G2C3,2,3,0.5,0.5,46.11
G2C4,2,4,0.5,0.5,46.11
G3C1,3,1,0.5,0.5,67.77
G3C2,3,2,0.5,0.5,67.77
G3C3,3,3,0.5,0.5,67.77
G3C4,3,4,0.5,0.5,67.77
G4C1,4,1,1.0,0.5,47.27
G4C2,4,2,1.0,0.5,47.27
G4C3,4,3,1.0,0.5,47.27
G4C4,4,4,1.0,0.5,47.27
G5C1,5,1,1.0,0.5,97.54
G5C2,5,2,1.0,0.5,97.54
G5C3,5,3,1.0,0.5,97.54
G5C4,5,4,1.0,0.5,97.54
G6C1,6,1,2.0,0.5,27.23
G6C2,6,2,2.0,0.5,27.23
G6C3,6,3,2.0,0.5,27.23
G6C4,6,4,2.0,0.5,27.23
G7C1,7,1,2.0,0.5,46.86
G7C2,7,2,2.0,0.5,46.86
G7C3,7,3,2.0,0.5,46.86
G7C4,7,4,2.0,0.5,46.86
G8C1,8,1,2.0,0.5,67.24
G8C2,8,2,2.0,0.5,67.24
G8C3,8,3,2.0,0.5,67.24
G8C4,8,4,2.0,0.5,67.24
G9C1,9,1,2.0,0.5,96.93
G9C2,9,2,2.0,0.5,96.93
G9C3,9,3,2.0,0.5,96.93
G9C4,9,4,2.0,0.5,96.93
G10C1,10,1,2.5,0.5,47.21
G10C2,10,2,2.5,0.5,47.21
G10C3,10,3,2.5,0.5,47.21
G10C4,10,4,2.5,0.5,47.21
G11C1,11,1,2.5,0.5,95.98
G11C2,11,2,2.5,0.5,95.98
G11C3,11,3,2.5,0.5,95.98
G11C4,11,4,2.5,0.5,95.98
G12C1,12,1,3.0,0.5,28.6
G12C2,12,2,3.0,0.5,28.6
G12C3,12,3,3.0,0.5,28.6
G12C4,12,4,3.0,0.5,28.6
G13C1,13,1,3.0,0.5,47.26
G13C2,13,2,3.0,0.5,47.26
G13C3,13,3,3.0,0.5,47.26
G13C4,13,4,3.0,0.5,47.26
G14C1,14,1,3.0,0.5,66.32
G14C2,14,2,3.0,0.5,66.32
G14C3,14,3,3.0,0.5,66.32
G14C4,14,4,3.0,0.5,66.32
G16C1,16,1,0.5,0.5,97.62
G16C2,16,2,0.5,0.5,97.62
G16C3,16,3,0.5,0.5,97.62
G16C4,16,4,0.5,0.5,97.62
G17C1,17,1,1.0,0.5,67.53
G17C2,17,2,1.0,0.5,67.53
G17C3,17,3,1.0,0.5,67.53
G17C4,17,4,1.0,0.5,67.53
G18C1,18,1,2.5,0.5,27.53
G18C2,18,2,2.5,0.5,27.53
G18C3,18,3,2.5,0.5,27.53
G18C4,18,4,2.5,0.5,27.53
G19C1,19,1,2.5,0.5,65.7
G19C2,19,2,2.5,0.5,65.7
G19C3,19,3,2.5,0.5,65.7
G19C4,19,4,2.5,0.5,65.7
G20C1,20,1,0.8,0.5,98.16
G20C2,20,2,0.8,0.5,98.16
G20C3,20,3,0.8,0.5,98.16
G20C4,20,4,0.8,0.5,98.16
G21C1,21,1,1.2,0.5,97.98
G21C2,21,2,1.2,0.5,97.98
G21C3,21,3,1.2,0.5,97.98
G21C4,21,4,1.2,0.5,97.98
G22C1,22,1,1.4,0.5,97.88
G22C2,22,2,1.4,0.5,97.88
G22C3,22,3,1.4,0.5,97.88
G22C4,22,4,1.4,0.5,97.88
G23C1,23,1,1.6,0.5,97.61
G23C2,23,2,1.6,0.5,97.61
G23C3,23,3,1.6,0.5,97.61
G23C4,23,4,1.6,0.5,97.61
G24C1,24,1,1.8,0.5,97.51
G24C2,24,2,1.8,0.5,97.51
G24C3,24,3,1.8,0.5,97.51
G24C4,24,4,1.8,0.5,97.51
G25C1,25,1,1.8,0.6,51.43
G25C2,25,2,1.8,0.6,51.43
G25C3,25,3,1.8,0.6,51.43
G25C4,25,4,1.8,0.6,51.43
G26C1,26,1,1.4,2.2,4.16
G26C2,26,2,1.4,2.2,4.16
G26C3,26,3,1.4,2.2,4.16
G26C4,26,4,1.4,2.2,4.16
G27C1,27,1,0.6,2.4,57.85
G27C2,27,2,0.6,2.4,57.85
G27C3,27,3,0.6,2.4,57.85
G27C4,27,4,0.6,2.4,57.85
G28C1,28,1,2.4,1.6,80.99
G28C2,28,2,2.4,1.6,80.99
G28C3,28,3,2.4,1.6,80.99
G28C4,28,4,2.4,1.6,80.99
G29C1,29,1,1.6,1.8,52.48
G29C2,29,2,1.6,1.8,52.48
G29C3,29,3,1.6,1.8,52.48
G29C4,29,4,1.6,1.8,52.48
G30C1,30,1,0.8,0.8,77.59
G30C2,30,2,0.8,0.8,77.59
G30C3,30,3,0.8,0.8,77.59
G30C4,30,4,0.8,0.8,77.59
G31C1,31,1,1.2,1.0,61.43
G31C2,31,2,1.2,1.0,61.43
G31C3,31,3,1.2,1.0,61.43
G31C4,31,4,1.2,1.0,61.43
G32C1,32,1,1.0,1.4,38.86
G32C2,32,2,1.0,1.4,38.86
G32C3,32,3,1.0,1.4,38.86
G32C4,32,4,1.0,1.4,38.86
G33C1,33,1,2.0,1.2,40.65
G33C2,33,2,2.0,1.2,40.65
G33C3,33,3,2.0,1.2,40.65
G33C4,33,4,2.0,1.2,40.65
G34C1,34,1,2.2,2.0,27.6
G34C2,34,2,2.2,2.0,27.6
G34C3,34,3,2.2,2.0,27.6
G34C4,34,4,2.2,2.0,27.6
G35C1,35,1,1.825,0.5,97.02
G35C2,35,2,1.825,0.5,97.02
G35C3,35,3,1.825,0.5,97.02
G35C4,35,4,1.825,0.5,97.02
G36C1,36,1,2.075,0.5,97.06
G36C2,36,2,2.075,0.5,97.06
G36C3,36,3,2.075,0.5,97.06
G36C4,36,4,2.075,0.5,97.06
G37C1,37,1,0.725,0.5,98.08
G37C2,37,2,0.725,0.5,98.08
G37C3,37,3,0.725,0.5,98.08
G37C4,37,4,0.725,0.5,98.08
G38C1,38,1,1.875,0.5,95.83
G38C2,38,2,1.875,0.5,95.83
G38C3,38,3,1.875,0.5,95.83
G38C4,38,4,1.875,0.5,95.83
G39C1,39,1,1.475,0.5,97.14
G39C2,39,2,1.475,0.5,97.14
G39C3,39,3,1.475,0.5,97.14
G39C4,39,4,1.475,0.5,97.14
G40C1,40,1,1.825,1.025,31.94
G40C2,40,2,1.825,1.025,31.94
G40C3,40,3,1.825,1.025,31.94
G40C4,40,4,1.825,1.025,31.94
G41C1,41,1,2.075,1.775,67.02
G41C2,41,2,2.075,1.775,67.02
G41C3,41,3,2.075,1.775,67.02
G41C4,41,4,2.075,1.775,67.02
G42C1,42,1,0.725,2.375,36.32
G42C2,42,2,0.725,2.375,36.32
G42C3,42,3,0.725,2.375,36.32
G42C4,42,4,0.725,2.375,36.32
G43C1,43,1,1.875,2.325,38.0
G43C2,43,2,1.875,2.325,38.0
G43C3,43,3,1.875,2.325,38.0
G43C4,43,4,1.875,2.325,38.0
G44C1,44,1,0.775,1.275,37.12
G44C2,44,2,0.775,1.275,37.12
G44C3,44,3,0.775,1.275,37.12
G44C4,44,4,0.775,1.275,37.12
G45C1,45,1,1.125,1.725,80.26
G45C2,45,2,1.125,1.725,80.26
G45C3,45,3,1.125,1.725,80.26
G45C4,45,4,1.125,1.725,80.26
G46C1,46,1,1.225,2.025,75.36
G46C2,46,2,1.225,2.025,75.36
