Cell_ID,Temperature_Type,DoD_Min_pct,DoD_Max_pct,Charge_Crate,Discharge_Crate,Discharge_Profile
Cell_01,R,0,100,0.2,0.2,Constant
Cell_02,C,0,100,0.2,0.2,Constant
Cell_03,H,0,100,0.2,0.2,Constant
Cell_04,R,0,100,1.5,1.5,Constant
Cell_05,C,0,100,1.5,1.5,Constant
Cell_06,H,0,100,1.5,1.5,Constant
Cell_07,R,0,100,2.0,2.0,Constant
Cell_08,C,0,100,2.0,2.0,Constant
Cell_09,H,0,100,2.0,2.0,Constant
Cell_10,R,0,100,0.2,1.5,Constant
Cell_11,C,0,100,0.2,1.5,Constant
Cell_12,H,0,100,0.2,1.5,Constant
Cell_13,R,0,50,0.2,0.2,Constant
Cell_14,C,0,50,0.2,0.2,Constant
Cell_15,H,0,50,0.2,0.2,Constant
Cell_16,R,0,50,0.2,1.5,Constant
Cell_17,C,0,50,0.2,1.5,Constant
Cell_18,H,0,50,0.2,1.5,Constant
Cell_19,R,0,50,1.5,,Constant
Cell_20,C,0,50,1.5,,Constant
Cell_21,H,0,50,1.5,,Constant
