model,config,global_R2,global_MAE,global_RMSE,global_MAPE,mean_cell_R2,mean_cell_MAE,mean_cell_RMSE,mean_cell_MAPE,n_cells,split,n_early,feature_set,n_features,eval_mode,best_params,train_time_sec,predict_time_sec,n_train_cells,n_test_cells
LightGBM,combined_80_20_n3_top3,0.7919232918254541,0.04152500005448152,0.06448526549515618,6.0272864838150655,0.7756883894626134,0.041522843497846164,0.05629067749581721,6.026612652100425,55,combined_80_20,3,top3,3,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",9.93,1.1787,217,55
XGBoost,combined_80_20_n3_top3,0.813505504151162,0.03951191709270597,0.06104945162641682,5.731151713128175,0.8005449247972599,0.03950786798024912,0.05265905067645022,5.7302153315496005,55,combined_80_20,3,top3,3,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",4.82,1.1094,217,55
GradBoost,combined_80_20_n3_top3,0.8256142990876776,0.037788942488763126,0.05903426949764938,5.5436391586678635,0.8165500904991011,0.03778833904014933,0.0508512760060808,5.543133045338846,55,combined_80_20,3,top3,3,combined,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 10, ""max_features"": 0.8, ""max_depth"": 4, ""learning_rate"": 0.03}",112.49,0.7921,217,55
LightGBM,combined_80_20_n3_top5,0.9033233424579824,0.027810981583473036,0.04395513025580536,4.159583957277522,0.8912758112414724,0.027818907045660025,0.03875246869465251,4.160194953386343,55,combined_80_20,3,top5,5,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",10.96,1.2012,217,55
XGBoost,combined_80_20_n3_top5,0.8899260387752693,0.03057706206284779,0.046901966892130414,4.561493365415837,0.8775424269353385,0.030582849175513196,0.04140407385949703,4.561794052630238,55,combined_80_20,3,top5,5,combined,"{""subsample"": 1.0, ""reg_lambda"": 0.01, ""reg_alpha"": 0.01, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.01, ""colsample_bytree"": 0.9}",6.4,1.1982,217,55
GradBoost,combined_80_20_n3_top5,0.903629557054892,0.027159462693121993,0.0438854630897738,4.0702651245529715,0.8885895690991649,0.02717423567879764,0.0375976244037537,4.071737039751918,55,combined_80_20,3,top5,5,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.8, ""max_depth"": 5, ""learning_rate"": 0.05}",133.67,0.8039,217,55
LightGBM,combined_80_20_n3_top10,0.899599586890567,0.027974641691603887,0.044793655729131944,4.204341408411092,0.8929991845902084,0.027978583926230843,0.03901485903075874,4.2044521773367896,55,combined_80_20,3,top10,10,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",13.42,1.1616,217,55
XGBoost,combined_80_20_n3_top10,0.8896039012160273,0.029089739054086912,0.04697054735779363,4.376185908028653,0.8823796190774859,0.029096303053183864,0.04020577147562699,4.3765179816683055,55,combined_80_20,3,top10,10,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",8.5,1.1366,217,55
GradBoost,combined_80_20_n3_top10,0.8941827295813007,0.029014316141303623,0.045986148268697895,4.388415055795496,0.8861424246725713,0.029016552774009663,0.0401014628837411,4.3882126942606,55,combined_80_20,3,top10,10,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.03}",170.16,0.8543,217,55
LightGBM,combined_80_20_n3_top20,0.8892816871349558,0.030197491948890248,0.047039044092077,4.471316796258689,0.8789154559522673,0.03019823956848144,0.041426748765367415,4.471016340503506,55,combined_80_20,3,top20,20,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",17.02,1.1655,217,55
