feature,importance,method
Q_discharge_mean,150.0,native_tree
Q_discharge_std,152.0,native_tree
Q_charge_mean,45.0,native_tree
Q_charge_std,97.0,native_tree
coulombic_eff_mean,132.0,native_tree
coulombic_eff_std,60.0,native_tree
mean_dQdV_low_mean,162.0,native_tree
mean_dQdV_low_std,53.0,native_tree
var_dQdV_low_mean,118.0,native_tree
var_dQdV_low_std,29.0,native_tree
mean_dQdV_mid_mean,112.0,native_tree
mean_dQdV_mid_std,44.0,native_tree
var_dQdV_mid_mean,156.0,native_tree
var_dQdV_mid_std,19.0,native_tree
mean_dQdV_high_mean,115.0,native_tree
mean_dQdV_high_std,8.0,native_tree
var_dQdV_high_mean,82.0,native_tree
var_dQdV_high_std,26.0,native_tree
ic_peak_volt_mean,54.0,native_tree
ic_peak_volt_std,8.0,native_tree
ic_peak_height_mean,86.0,native_tree
ic_peak_height_std,11.0,native_tree
Q_physics_mean,110.0,native_tree
Q_physics_std,114.0,native_tree
Q_residual_mean,176.0,native_tree
Q_residual_std,127.0,native_tree
physics_Q0_mean,162.0,native_tree
physics_Q0_std,18.0,native_tree
physics_a_mean,39.0,native_tree
physics_a_std,41.0,native_tree
physics_b_mean,833.0,native_tree
physics_b_std,60.0,native_tree
charge_rate_mean,109.0,native_tree
charge_rate_std,7.0,native_tree
discharge_rate_mean,69.0,native_tree
discharge_rate_std,18.0,native_tree
mean_dod_mean,43.0,native_tree
mean_dod_std,36.0,native_tree
efc_mean,0.0,native_tree
efc_std,0.0,native_tree
Q_discharge_slope,62.0,native_tree
Q_discharge_intercept,32.0,native_tree
SoH_slope,351.0,native_tree
Q_early_drop,107.0,native_tree
SoH_early_drop,9.0,native_tree
ce_trend,59.0,native_tree
ic_peak_shift,0.0,native_tree
cycle_position,1699.0,native_tree
Q_discharge_mean,0.004496638472232539,shap
Q_discharge_std,0.0009191610317811621,shap
Q_charge_mean,0.0015278729412951078,shap
Q_charge_std,0.0008176578553139545,shap
coulombic_eff_mean,0.0006440665990122701,shap
coulombic_eff_std,0.0007345793715781575,shap
mean_dQdV_low_mean,0.0018950807368736534,shap
mean_dQdV_low_std,0.0008860974357302196,shap
var_dQdV_low_mean,0.0006002369660160147,shap
var_dQdV_low_std,0.0002933791530964939,shap
mean_dQdV_mid_mean,0.0013132436791370079,shap
mean_dQdV_mid_std,0.0004798373234603618,shap
var_dQdV_mid_mean,0.0018299572428379738,shap
var_dQdV_mid_std,0.00010104182904400304,shap
mean_dQdV_high_mean,0.0012167130679246888,shap
mean_dQdV_high_std,7.010109204099664e-05,shap
var_dQdV_high_mean,0.0006367205895967958,shap
var_dQdV_high_std,0.0001222857229656548,shap
ic_peak_volt_mean,0.0004836275130591028,shap
ic_peak_volt_std,0.0001055954504064223,shap
