Split,Eval Mode,Model,n_early,Features,R²,MAE,RMSE,MAPE,Cell R²,Train (s),Predict (s),n_train,n_test
combined_80_20,combined,LightGBM,3,top3,0.7919232918254541,0.04152500005448152,0.06448526549515618,6.0272864838150655,0.7756883894626134,9.93,1.1787,217,55
combined_80_20,combined,XGBoost,3,top3,0.813505504151162,0.03951191709270597,0.06104945162641682,5.731151713128175,0.8005449247972599,4.82,1.1094,217,55
combined_80_20,combined,GradBoost,3,top3,0.8256142990876776,0.037788942488763126,0.05903426949764938,5.5436391586678635,0.8165500904991011,112.49,0.7921,217,55
combined_80_20,combined,LightGBM,3,top5,0.9033233424579824,0.027810981583473036,0.04395513025580536,4.159583957277522,0.8912758112414724,10.96,1.2012,217,55
combined_80_20,combined,XGBoost,3,top5,0.8899260387752693,0.03057706206284779,0.046901966892130414,4.561493365415837,0.8775424269353385,6.4,1.1982,217,55
combined_80_20,combined,GradBoost,3,top5,0.903629557054892,0.027159462693121993,0.0438854630897738,4.0702651245529715,0.8885895690991649,133.67,0.8039,217,55
combined_80_20,combined,LightGBM,3,top10,0.899599586890567,0.027974641691603887,0.044793655729131944,4.204341408411092,0.8929991845902084,13.42,1.1616,217,55
combined_80_20,combined,XGBoost,3,top10,0.8896039012160273,0.029089739054086912,0.04697054735779363,4.376185908028653,0.8823796190774859,8.5,1.1366,217,55
combined_80_20,combined,GradBoost,3,top10,0.8941827295813007,0.029014316141303623,0.045986148268697895,4.388415055795496,0.8861424246725713,170.16,0.8543,217,55
combined_80_20,combined,LightGBM,3,top20,0.8892816871349558,0.030197491948890248,0.047039044092077,4.471316796258689,0.8789154559522673,17.02,1.1655,217,55
combined_80_20,combined,XGBoost,3,top20,0.8830584298426507,0.03120437623426195,0.0483429577652475,4.611091016884378,0.8710200499132659,12.9,1.1629,217,55
combined_80_20,combined,GradBoost,3,top20,0.8895192161462057,0.030109118136120723,0.04698855950492835,4.47849116406713,0.8816502548956392,247.68,0.8099,217,55
combined_80_20,combined,LightGBM,3,all,0.876732791793317,0.03267621941884833,0.04963322989742504,4.793265909573448,0.8643260465424331,29.41,1.4339,217,55
